results,reviews,rating,countyState,fips,Arating,tax_rating,satisfaction/dollar,Market value
50,157,4.27,"Austin County, TX",48015,7.82015,2043,261.248185776488,7
50,224,4.25,"Lincoln County, OR",41041,7.75125,2047,264.086437671343,7
50,154,4.26,"Powhatan County, VA",51145,7.7857,2049,263.174794816137,7
50,201,4.28,"Waller County, TX",48473,7.8546,2107,268.250451964454,7
50,192,4.37,"St. Louis County, MO",29189,8.16465,2320,284.151800750798,7
50,109,4.39,"Berkshire County, MA",25003,8.23355,2447,297.198656715512,7
50,241,4.56,"Franklin County, OH",39049,8.8192,2742,310.912554426705,7
31,109,4.02,"Issaquena County, MS",28055,6.9589,237,34.0571067266378,6.9
15,39,4,"Cumberland County, KY",21057,6.89,328,47.6052249637155,6.9
44,85,4.02,"Colbert County, AL",1033,6.9589,374,53.7441262268462,6.9
7,12,4,"Hidalgo County, NM",35023,6.89,427,61.9738751814224,6.9
33,89,4,"Scott County, MS",28123,6.89,431,62.5544267053701,6.9
13,21,4,"Ouachita Parish, LA",22073,6.89,449,65.166908563135,6.9
11,12,4,"Ripley County, MO",29181,6.89,455,66.0377358490566,6.9
15,31,4,"Whitley County, KY",21235,6.89,462,67.0537010159652,6.9
17,91,4,"Ritchie County, WV",54085,6.89,464,67.3439767779391,6.9
38,121,4,"Raleigh County, WV",54081,6.89,469,68.0696661828737,6.9
50,110,4.01,"Henry County, VA",51089,6.92445,476,68.7419217410769,6.9
18,32,4,"Knox County, KY",21121,6.89,482,69.9564586357039,6.9
16,29,4,"Sabine County, TX",48403,6.89,487,70.6821480406386,6.9
10,25,4,"Beckham County, OK",40009,6.89,491,71.2626995645864,6.9
50,84,4.01,"Montgomery County, NC",37123,6.92445,549,79.2842752854017,6.9
50,255,4.01,"Baldwin County, AL",1003,6.92445,574,82.894670334828,6.9
50,135,4.01,"Chester County, SC",45023,6.92445,576,83.1835019387821,6.9
46,69,4.03,"Miami County, IN",18103,6.99335,615,87.9406865093267,6.9
50,701,4.01,"Dade County, GA",13083,6.92445,634,91.5596184534512,6.9
50,122,4.02,"Elbert County, GA",13105,6.9589,643,92.3996608659415,6.9
31,109,4.02,"Warren County, MS",28149,6.9589,689,99.009900990099,6.9
50,89,4.03,"Benton County, IN",18007,6.99335,700,100.095090335819,6.9
20,49,4.03,"Hart County, GA",13147,6.99335,745,106.52977471455,6.9
26,79,4.02,"Goliad County, TX",48175,6.9589,766,110.07486815445,6.9
50,85,4.04,"White County, IN",18181,7.0278,855,121.659694356698,6.9
50,143,4.05,"Madison County, NC",37115,7.06225,872,123.4733972884,6.9
16,133,4.03,"Washington County, NC",37187,6.99335,880,125.833827850744,6.9
50,113,4.04,"Cleveland County, NC",37045,7.0278,892,126.924499843479,6.9
16,27,4.03,"Martin County, MN",27091,6.99335,894,127.83572965746,6.9
50,133,4.04,"Madison County, IN",18095,7.0278,895,127.351375964029,6.9
50,157,4.04,"Garrard County, KY",21079,7.0278,896,127.493668004212,6.9
50,163,4.03,"Buchanan County, MO",29021,6.99335,915,130.838582367535,6.9
50,101,4.07,"LaPorte County, IN",18091,7.13115,1051,147.381558374175,6.9
50,241,4.05,"Elmore County, ID",16039,7.06225,1051,148.819427236362,6.9
